analysis_id,18oq6vcbgemoa34
pvalue,0.3107466
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:108072
parameter_name,Vocalization
gene_symbol,Traf6
parameter_id,IMPC_CSD_078_001
