parameter_name,110dB startle magnitude
gene_symbol,Eprs1
pvalue,0.1585168
parameter_id,ESLIM_011_001_006
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
analysis_id,550h1jkd4sp2pp5
