analysis_id,11tq5yn0qki84y1
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
pvalue,0.740439
