analysis_id,zm4xawp12vsn01n
gene_symbol,Dnaaf9
pvalue,0.656262
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Skull shape
gene_accession_id,MGI:1923029
