analysis_id,813vk2rk98h890k
gene_accession_id,MGI:2444554
pvalue,0.4429902
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
gene_symbol,Mapkap1
parameter_name,Fat/Body weight
