analysis_id,d79y604ngk2t5od
parameter_name,Heart weight
gene_symbol,Dmap1
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1913483
pvalue,0.4918217
mouse_strain,C57BL
mouse_life_stage,E9.5
