Analysis_id,a7hl704195gg21a
gene_symbol,Slc28a2
Parameter_name,Eye
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1913105
Mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8982125
