gene_symbol,Arpc5l
analysis_id,0dvooh24gv2r517
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
gene_accession_id,MGI:1921442
pvalue,0.4230395
mouse_life_stage,Early adult
mouse_strain,C57BL
