analysis_id,asife33n8j2skpa
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:2446186
parameter_name,Calcium
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
pvalue,0.4035979
