parameter_id,HRWLLA_GRS_010_001
pvalue,0.3237613
gene_symbol,Slx4ip
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1921493
analysis_id,14xjp1px1cl02kd
mouse_strain,C57BL
mouse_life_stage,Early adult
