analysis_id,s54lb8dv582a78q
mouse_life_stage,Early adult
pvalue,0.2873912
parameter_id,HRWLLA_OFD_020_001
parameter_name,Distance travelled - total
gene_symbol,Amigo1
mouse_strain,C57BL
gene_accession_id,MGI:2653612
