parameter_name,Magnesium
pvalue,0.1995514
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_025_001_030
analysis_id,007522j84p8kg42
