analysis_id,1996dq58h1u03k2
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Stroke Volume
mouse_strain,129SV
gene_symbol,Cntfr
pvalue,0.1622546
parameter_id,IMPC_ECH_003_001
