analysis_id,12my482w737h8f8
parameter_id,JAXLA_OFD_020_001
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
pvalue,0.4866861
