gene_symbol,CISD2
gene_accession_id,MGI:1914256
pvalue,0.8786755
mouse_life_stage,Early adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
analysis_id,l34il56315680py
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
