analysis_id,3q1w6y1xw0x88v8
gene_symbol,Ints7
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
pvalue,0.3835296
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
parameter_name,Follicular B Cells (CD21/35+)
