analysis_id,qmg707q70g57y24
parameter_id,IMPC_IMM_004_002
pvalue,0.680033
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_symbol,Bpifa3
mouse_strain,C57BL
