parameter_name,RR
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
pvalue,0.3616065
gene_symbol,Tatdn3
analysis_id,q11k3exb31x9r3p
