gene_symbol,Tox
parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,Early adult
analysis_id,r44voup0r7tc9f4
gene_accession_id,MGI:2181659
pvalue,0.1800247
