analysis_id,5x455m3mktem7r6
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,B6J
pvalue,0.06909254
gene_symbol,Nr0b2
parameter_id,MGP_MLN_006_001
