analysis_id,d921z98d2rs5egh
gene_accession_id,MGI:1914256
pvalue,0.5354396
gene_symbol,Cisd2
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
mouse_life_stage,Early adult
mouse_strain,C57BL
