parameter_name,Femur
parameter_id,IMPC_XRY_024_001
analysis_id,9g8c01u25385e35
mouse_strain,C51BL
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
pvalue,0.1576134
gene_symbol,Casq1
