analysis_id,j93105l382q6s3o
pvalue,0.7600596
mouse_strain,C57BL
gene_accession_id,MGI:1931322
parameter_id,MGP_MLN_093_001
gene_symbol,Car13
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
