parameter_name,Lens
mouse_strain,C57BL
analysis_id,nx152x70579tjuo
gene_symbol,Ints7
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Early adult
pvalue,0.2413005
gene_accession_id,MGI:1924315
