mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.6706234
analysis_id,a095a0c3nyu562a
