analysis_id,9sso4a084795maj
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.2864252
parameter_id,MGP_MLN_032_001
mouse_life_stage,E15.5
