analysis_id,37i12w28bc11gj7
gene_accession_id,MGI:99501
parameter_id,IMPC_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,C57BL
pvalue,0.2328164
gene_symbol,Fgb
mouse_life_stage,E15.5
