parameter_name,CV
analysis_id,885961e3z5im68j
parameter_id,IMPC_ECG_003_001
mouse_strain,129SV
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.3225816
