analysis_id,1108r91l16z2vv2
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,INPP1
mouse_life_stage,Early adult
pvalue,0.1660281
parameter_name,Transitional 1 B cells - % of CD45+
parameter_id,MGP_IMM_110_001
