parameter_id,TCPLA_CSD_030_001
pvalue,0.6446799
parameter_name,Tremor
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7l67thn43ddt5p0
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
