analysis_id,67094j22tyu1g2c
pvalue,0.358805
parameter_name,Time mobile light side
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
gene_symbol,Hpca
