parameter_name,Lean mass
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,sd871u23475hf07
gene_symbol,Bach2
parameter_id,JAXLA_DXA_003_001
pvalue,0.810706
