analysis_id,hh45db6599z72k4
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
pvalue,0.4302255
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
