gene_symbol,Dhdds
parameter_name,Time mobile light side
analysis_id,gixbn6y23nhq6a4
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
pvalue,0.6436096
mouse_strain,C57BL
