parameter_id,MGP_PBI_038_001
analysis_id,l8p893v9184ssy1
pvalue,0.5296966
gene_symbol,Rab13
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
