gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,3c6u68ohwcn5wec
parameter_id,MGP_MLN_005_001
pvalue,0.6986598
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,Late adult
