gene_symbol,Cds2
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_id,HRWLLA_OFD_017_001
analysis_id,3669h80meotw336
mouse_life_stage,Early adult
parameter_name,Center average speed
pvalue,0.3454323
