analysis_id,h8x57yb30j2wuq9
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.1319442
mouse_strain,C57BL
gene_symbol,Secisbp2l
