gene_symbol,Eprs1
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,E12.5
analysis_id,7140019iwi12uei
gene_accession_id,MGI:97838
pvalue,0.4477947
mouse_strain,C57BL
