analysis_id,3854a11t2w9y7io
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,Heart weight
parameter_id,HMGULA_HWT_008_001
pvalue,0.9548866
gene_symbol,Bcs1l
