parameter_name,Glucose
pvalue,0.1850375
gene_accession_id,MGI:1913105
parameter_id,IMPC_CBC_018_001
analysis_id,0xp9gh22v0h4xly
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc28a2
