analysis_id,dli05165ux0hboe
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
gene_symbol,Slx4ip
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1921493
pvalue,0.9643017
mouse_strain,C57BL
