analysis_id,cp9oz295861gl8r
gene_accession_id,MGI:104848
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
pvalue,0.3368022
mouse_strain,129SV
gene_symbol,Inpp1
parameter_id,MGP_IMM_013_001
