gene_symbol,Cpa3
analysis_id,bhp5fv95j2i3861
gene_accession_id,MGI:88479
parameter_name,Lean mass
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
pvalue,0.6121228
mouse_strain,C57BL
