gene_symbol,Casq1
mouse_life_stage,Early adult
pvalue,0.1768569
analysis_id,ex38bdhmx26jx2u
parameter_name,Skull shape
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
