analysis_id,5bu699q9ds94d93
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:109585
gene_symbol,Pld1
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
pvalue,0.3662821
