parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
pvalue,0.3431775
analysis_id,6dw45xf9b410t6q
gene_symbol,Pglyrp3
parameter_id,IMPC_CBC_012_001
