analysis_id,6wbr73svovqe161
pvalue,0.2405946
gene_symbol,Dnajc8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
