Parameter_name,Embryo Size
Analysis_id,8um62364z7s2q04
gene_accession_id,MGI:1915087
Mouse_life_stage,E9.5
parameter_id,IMPC_GEP_022_001
Mouse_strain,C57BL
pvalue,0.4443133
Gene_symbol,Tiprl
