analysis_id,01zyb3asbe13px5
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
pvalue,0.378463
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
