parameter_id,IMPC_CSD_028_001
analysis_id,dj1ffsbg43g0012
parameter_name,Snout size
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7632557
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
