analysis_id,6n2v3q30pfhjn56
gene_symbol,AU040320
parameter_name,Neutrophil cell count
pvalue,0.9057006
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
