analysis_id,btlpx0b2784x26l
pvalue,0.06410424
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,129SV
