gene_symbol,Kdm5b
mouse_strain,C57BL
analysis_id,4jelu3vwev70xv1
parameter_name,Basophil differential count
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
pvalue,0.2257603
parameter_id,IMPC_HEM_038_001
