parameter_name,Hindpaw - size
pvalue,0.274167
mouse_life_stage,Early adult
gene_symbol,Zmynd8
mouse_strain,129SV
analysis_id,p6uv83son84wx68
gene_accession_id,MGI:1918025
parameter_id,JAXLA_CSD_041_002
