analysis_id,e253q93hhkh599e
mouse_life_stage,Early adult
pvalue,0.2469534
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_name,Delayed embryonic development
gene_symbol,Arnt
parameter_id,IMPC_GEL_063_001
