mouse_strain,B6J
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_ACS_035_001
pvalue,0.362822
analysis_id,ylwkq7idpdp719c
