analysis_id,05273687p39ijch
parameter_name,Total protein
gene_symbol,Orc2
parameter_id,IMPC_CBC_006_001
mouse_life_stage,E9.5
pvalue,0.8960023
mouse_strain,C57BL
gene_accession_id,MGI:1328306
