analysis_id,1r8yqeli689qbo7
pvalue,0.3013254
mouse_life_stage,E15.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C57BL
