gene_symbol,Nipal3
analysis_id,2732ul89to0zl2g
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
pvalue,0.7254223
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1921802
