analysis_id,i6844f5191t4b4r
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
mouse_life_stage,E9.5
parameter_name,Mean platelet volume
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.3715572
