analysis_id,43h26261nh6j31t
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:1924315
gene_symbol,Ints7
parameter_name,Periphery resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8230878
