analysis_id,2a6y8qatr8y7f15
mouse_life_stage,Early adult
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
pvalue,0.5319478
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_066_001
