gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_011_001
pvalue,0.72608
parameter_name,Resting Treg cells - % of Treg
analysis_id,vkka48m9lx20g4s
